timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1538055824316,12,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,12,0,1
1538055824333,6,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,6,0,1
1538055824339,5,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,5,0,2
1538055824344,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824347,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824350,5,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,5,0,3
1538055824355,4,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,4,0,1
1538055824359,7,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,7,0,1
1538055824366,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,2
1538055824370,2,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,2,0,1
1538055824372,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824375,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824378,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824381,4,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,4,0,1
1538055824385,7,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,7,0,1
1538055824392,10,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,10,0,1
1538055824402,2,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,2,0,1
1538055824405,4,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824409,2,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,2,0,1
1538055824412,7,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,7,0,1
1538055824419,12,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,12,0,1
1538055824431,12,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,12,0,10
1538055824443,2,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,2,0,1
1538055824446,2,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,2,0,0
1538055824448,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,2
1538055824451,10,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,10,0,1
1538055824462,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824466,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824469,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824472,10,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,10,0,8
1538055824482,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824485,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,2
1538055824489,2,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,2,0,0
1538055824491,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824494,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824498,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824501,5,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,5,0,4
1538055824507,4,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,4,0,1
1538055824511,6,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,6,0,4
1538055824518,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824521,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824524,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824527,4,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,4,0,2
1538055824531,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824534,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824537,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824540,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824543,6,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,6,0,1
1538055824550,2,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,2,0,1
1538055824553,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824556,4,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,4,0,2
1538055824560,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824563,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824566,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824569,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824573,2,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,2,0,1
1538055824576,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824579,4,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,4,0,1
1538055824583,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824586,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824589,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824593,4,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,4,0,1
1538055824597,4,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,4,0,2
1538055824601,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824604,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,2
1538055824608,2,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,2,0,1
1538055824611,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824614,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824617,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824620,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824624,2,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,2,0,1
1538055824626,4,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,4,0,2
1538055824630,6,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,6,0,1
1538055824637,14,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,14,0,1
1538055824651,7,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,7,0,2
1538055824658,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824661,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,2
1538055824665,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,0
1538055824668,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824671,4,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,4,0,1
1538055824676,5,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,5,0,1
1538055824681,4,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824685,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824688,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824691,4,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,4,0,2
1538055824696,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824699,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824702,5,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,5,0,1
1538055824707,5,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,5,0,2
1538055824712,5,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,5,0,2
1538055824717,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824721,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824724,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824727,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824730,4,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,4,0,2
1538055824734,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824737,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824740,4,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,4,0,1
1538055824745,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824748,3,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,3,0,1
1538055824752,4,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,4,0,1
1538055824756,7,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,7,0,2
1538055824763,4,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,4,0,2
1538055824767,4,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1665,138,1,1,http://10.0.10.10:4200/?petclinic=&owners=,4,0,2
